text,sentiment
Superb order with outstanding quality and value.,positive
Impressive tool — works perfectly and looks great.,positive
I hate this subscription. It's a complete waste of money.,negative
Terrible purchase — broke within days of use.,negative
This meal made my day! I'm really satisfied.,positive
I hate this purchase. It's a complete waste of money.,negative
I absolutely love this order! It exceeded all my expectations.,positive
Impressive car — works perfectly and looks great.,positive
Impressive headset — works perfectly and looks great.,positive
Impressive car — works perfectly and looks great.,positive
Terrible movie — broke within days of use.,negative
Worst product I've ever bought. Totally useless.,negative
This book made my day! I'm really satisfied.,positive
Poor quality service and horrible customer support.,negative
This device is neither good nor bad.,neutral
Terrible meal — broke within days of use.,negative
This book is okay. Does the job.,neutral
Fantastic tool. Will definitely recommend to others.,positive
Terrible car — broke within days of use.,negative
Worst movie I've ever bought. Totally useless.,negative
Worst device I've ever bought. Totally useless.,negative
Fantastic car. Will definitely recommend to others.,positive
Very disappointed with this purchase. Not worth it.,negative
I absolutely love this order! It exceeded all my expectations.,positive
Poor quality subscription and horrible customer support.,negative
Superb laptop with outstanding quality and value.,positive
Terrible subscription — broke within days of use.,negative
Poor quality software and horrible customer support.,negative
Terrible delivery — broke within days of use.,negative
Terrible software — broke within days of use.,negative
Poor quality book and horrible customer support.,negative
Very disappointed with this car. Not worth it.,negative
Average phone — nothing too exciting.,neutral
Poor quality experience and horrible customer support.,negative
This device is okay. Does the job.,neutral
I hate this vacuum. It's a complete waste of money.,negative
Poor quality meal and horrible customer support.,negative
This phone is okay. Does the job.,neutral
I absolutely love this headset! It exceeded all my expectations.,positive
This meal is neither good nor bad.,neutral
Fantastic experience. Will definitely recommend to others.,positive
"It's a decent subscription, works as intended.",neutral
Average book — nothing too exciting.,neutral
Average movie — nothing too exciting.,neutral
Worst book I've ever bought. Totally useless.,negative
Average device — nothing too exciting.,neutral
I hate this movie. It's a complete waste of money.,negative
"It's a decent product, works as intended.",neutral
Fantastic camera. Will definitely recommend to others.,positive
This meal is okay. Does the job.,neutral
Very disappointed with this meal. Not worth it.,negative
Worst experience I've ever bought. Totally useless.,negative
"It's a decent product, works as intended.",neutral
Worst delivery I've ever bought. Totally useless.,negative
Very disappointed with this order. Not worth it.,negative
Superb headset with outstanding quality and value.,positive
Impressive purchase — works perfectly and looks great.,positive
I hate this subscription. It's a complete waste of money.,negative
This car is okay. Does the job.,neutral
Very disappointed with this software. Not worth it.,negative
Superb vacuum with outstanding quality and value.,positive
Poor quality device and horrible customer support.,negative
Poor quality meal and horrible customer support.,negative
Terrible subscription — broke within days of use.,negative
Worst service I've ever bought. Totally useless.,negative
Fantastic delivery. Will definitely recommend to others.,positive
Worst purchase I've ever bought. Totally useless.,negative
Worst product I've ever bought. Totally useless.,negative
I hate this product. It's a complete waste of money.,negative
Superb subscription with outstanding quality and value.,positive
Terrible meal — broke within days of use.,negative
Very disappointed with this headset. Not worth it.,negative
Terrible camera — broke within days of use.,negative
I hate this experience. It's a complete waste of money.,negative
Worst software I've ever bought. Totally useless.,negative
"It's a decent experience, works as intended.",neutral
This delivery is neither good nor bad.,neutral
Average laptop — nothing too exciting.,neutral
Fantastic phone. Will definitely recommend to others.,positive
"It's a decent laptop, works as intended.",neutral
This camera is neither good nor bad.,neutral
This book made my day! I'm really satisfied.,positive
Average delivery — nothing too exciting.,neutral
Worst phone I've ever bought. Totally useless.,negative
Superb delivery with outstanding quality and value.,positive
Mediocre meal. You get what you pay for.,neutral
Fantastic vacuum. Will definitely recommend to others.,positive
Worst experience I've ever bought. Totally useless.,negative
Very disappointed with this subscription. Not worth it.,negative
Terrible order — broke within days of use.,negative
This vacuum made my day! I'm really satisfied.,positive
Average experience — nothing too exciting.,neutral
I absolutely love this application! It exceeded all my expectations.,positive
Mediocre movie. You get what you pay for.,neutral
I hate this meal. It's a complete waste of money.,negative
This device made my day! I'm really satisfied.,positive
Fantastic delivery. Will definitely recommend to others.,positive
Poor quality car and horrible customer support.,negative
Fantastic camera. Will definitely recommend to others.,positive
This car made my day! I'm really satisfied.,positive
I absolutely love this vacuum! It exceeded all my expectations.,positive
This vacuum is okay. Does the job.,neutral
Poor quality headset and horrible customer support.,negative
I absolutely love this application! It exceeded all my expectations.,positive
"It's a decent application, works as intended.",neutral
Worst vacuum I've ever bought. Totally useless.,negative
This headset made my day! I'm really satisfied.,positive
I hate this device. It's a complete waste of money.,negative
Terrible meal — broke within days of use.,negative
Average delivery — nothing too exciting.,neutral
This laptop is okay. Does the job.,neutral
I hate this meal. It's a complete waste of money.,negative
"It's a decent movie, works as intended.",neutral
Superb laptop with outstanding quality and value.,positive
Fantastic purchase. Will definitely recommend to others.,positive
Fantastic application. Will definitely recommend to others.,positive
Poor quality product and horrible customer support.,negative
"It's a decent software, works as intended.",neutral
I absolutely love this headset! It exceeded all my expectations.,positive
Average phone — nothing too exciting.,neutral
This book is neither good nor bad.,neutral
Average book — nothing too exciting.,neutral
I hate this car. It's a complete waste of money.,negative
Poor quality camera and horrible customer support.,negative
Mediocre vacuum. You get what you pay for.,neutral
Mediocre service. You get what you pay for.,neutral
Fantastic software. Will definitely recommend to others.,positive
This book is okay. Does the job.,neutral
Fantastic product. Will definitely recommend to others.,positive
This software made my day! I'm really satisfied.,positive
Average order — nothing too exciting.,neutral
Very disappointed with this experience. Not worth it.,negative
Fantastic subscription. Will definitely recommend to others.,positive
Mediocre camera. You get what you pay for.,neutral
Superb experience with outstanding quality and value.,positive
Worst tool I've ever bought. Totally useless.,negative
This vacuum is neither good nor bad.,neutral
Mediocre book. You get what you pay for.,neutral
Very disappointed with this camera. Not worth it.,negative
Terrible device — broke within days of use.,negative
This order made my day! I'm really satisfied.,positive
This software is okay. Does the job.,neutral
Very disappointed with this meal. Not worth it.,negative
This order made my day! I'm really satisfied.,positive
This phone made my day! I'm really satisfied.,positive
I absolutely love this order! It exceeded all my expectations.,positive
Superb vacuum with outstanding quality and value.,positive
This headset is okay. Does the job.,neutral
This phone made my day! I'm really satisfied.,positive
This phone is okay. Does the job.,neutral
I hate this delivery. It's a complete waste of money.,negative
I absolutely love this camera! It exceeded all my expectations.,positive
"It's a decent application, works as intended.",neutral
Average phone — nothing too exciting.,neutral
Worst meal I've ever bought. Totally useless.,negative
Average application — nothing too exciting.,neutral
Impressive device — works perfectly and looks great.,positive
This subscription made my day! I'm really satisfied.,positive
I hate this product. It's a complete waste of money.,negative
Superb movie with outstanding quality and value.,positive
Impressive headset — works perfectly and looks great.,positive
Superb tool with outstanding quality and value.,positive
Terrible software — broke within days of use.,negative
This software is okay. Does the job.,neutral
This meal made my day! I'm really satisfied.,positive
I absolutely love this movie! It exceeded all my expectations.,positive
I absolutely love this purchase! It exceeded all my expectations.,positive
"It's a decent phone, works as intended.",neutral
Worst device I've ever bought. Totally useless.,negative
Worst phone I've ever bought. Totally useless.,negative
This book made my day! I'm really satisfied.,positive
I absolutely love this device! It exceeded all my expectations.,positive
I absolutely love this device! It exceeded all my expectations.,positive
Poor quality device and horrible customer support.,negative
Fantastic application. Will definitely recommend to others.,positive
This meal made my day! I'm really satisfied.,positive
Terrible delivery — broke within days of use.,negative
Very disappointed with this laptop. Not worth it.,negative
Poor quality headset and horrible customer support.,negative
Mediocre phone. You get what you pay for.,neutral
This camera is neither good nor bad.,neutral
Poor quality phone and horrible customer support.,negative
This phone is neither good nor bad.,neutral
This experience is okay. Does the job.,neutral
Superb subscription with outstanding quality and value.,positive
Average order — nothing too exciting.,neutral
Average subscription — nothing too exciting.,neutral
Mediocre phone. You get what you pay for.,neutral
Fantastic order. Will definitely recommend to others.,positive
Terrible camera — broke within days of use.,negative
This laptop made my day! I'm really satisfied.,positive
This movie made my day! I'm really satisfied.,positive
This experience is neither good nor bad.,neutral
Worst experience I've ever bought. Totally useless.,negative
This laptop is okay. Does the job.,neutral
Impressive software — works perfectly and looks great.,positive
"It's a decent book, works as intended.",neutral
This book is okay. Does the job.,neutral
"It's a decent service, works as intended.",neutral
This delivery is neither good nor bad.,neutral
Poor quality purchase and horrible customer support.,negative
Terrible service — broke within days of use.,negative
Mediocre camera. You get what you pay for.,neutral
I absolutely love this purchase! It exceeded all my expectations.,positive
Superb laptop with outstanding quality and value.,positive
Fantastic product. Will definitely recommend to others.,positive
Mediocre application. You get what you pay for.,neutral
"It's a decent application, works as intended.",neutral
This headset made my day! I'm really satisfied.,positive
This car made my day! I'm really satisfied.,positive
I absolutely love this order! It exceeded all my expectations.,positive
Very disappointed with this service. Not worth it.,negative
I absolutely love this order! It exceeded all my expectations.,positive
This delivery is neither good nor bad.,neutral
Terrible service — broke within days of use.,negative
This tool made my day! I'm really satisfied.,positive
I absolutely love this vacuum! It exceeded all my expectations.,positive
Fantastic purchase. Will definitely recommend to others.,positive
Terrible application — broke within days of use.,negative
Impressive subscription — works perfectly and looks great.,positive
Poor quality camera and horrible customer support.,negative
Poor quality book and horrible customer support.,negative
Terrible laptop — broke within days of use.,negative
This camera is okay. Does the job.,neutral
I absolutely love this experience! It exceeded all my expectations.,positive
"It's a decent software, works as intended.",neutral
Impressive movie — works perfectly and looks great.,positive
Mediocre delivery. You get what you pay for.,neutral
Poor quality software and horrible customer support.,negative
"It's a decent subscription, works as intended.",neutral
Terrible software — broke within days of use.,negative
Very disappointed with this purchase. Not worth it.,negative
Impressive software — works perfectly and looks great.,positive
I absolutely love this laptop! It exceeded all my expectations.,positive
I hate this device. It's a complete waste of money.,negative
Worst application I've ever bought. Totally useless.,negative
Average application — nothing too exciting.,neutral
I hate this application. It's a complete waste of money.,negative
Impressive service — works perfectly and looks great.,positive
This software is neither good nor bad.,neutral
This application is okay. Does the job.,neutral
Poor quality tool and horrible customer support.,negative
This service is okay. Does the job.,neutral
Impressive software — works perfectly and looks great.,positive
Fantastic purchase. Will definitely recommend to others.,positive
Mediocre phone. You get what you pay for.,neutral
Poor quality vacuum and horrible customer support.,negative
Worst delivery I've ever bought. Totally useless.,negative
Impressive experience — works perfectly and looks great.,positive
Terrible purchase — broke within days of use.,negative
Average service — nothing too exciting.,neutral
I absolutely love this delivery! It exceeded all my expectations.,positive
"It's a decent camera, works as intended.",neutral
This product is neither good nor bad.,neutral
Superb software with outstanding quality and value.,positive
This car is neither good nor bad.,neutral
This service is okay. Does the job.,neutral
Worst meal I've ever bought. Totally useless.,negative
This laptop is neither good nor bad.,neutral
Impressive tool — works perfectly and looks great.,positive
Terrible device — broke within days of use.,negative
This tool is okay. Does the job.,neutral
I absolutely love this product! It exceeded all my expectations.,positive
Impressive delivery — works perfectly and looks great.,positive
Terrible phone — broke within days of use.,negative
Very disappointed with this camera. Not worth it.,negative
Terrible purchase — broke within days of use.,negative
Superb application with outstanding quality and value.,positive
Mediocre service. You get what you pay for.,neutral
This purchase is okay. Does the job.,neutral
Worst laptop I've ever bought. Totally useless.,negative
Fantastic meal. Will definitely recommend to others.,positive
Poor quality device and horrible customer support.,negative
"It's a decent delivery, works as intended.",neutral
This tool made my day! I'm really satisfied.,positive
Average headset — nothing too exciting.,neutral
Very disappointed with this delivery. Not worth it.,negative
I absolutely love this book! It exceeded all my expectations.,positive
Terrible order — broke within days of use.,negative
Average phone — nothing too exciting.,neutral
Mediocre device. You get what you pay for.,neutral
Terrible car — broke within days of use.,negative
Impressive vacuum — works perfectly and looks great.,positive
Mediocre laptop. You get what you pay for.,neutral
I absolutely love this car! It exceeded all my expectations.,positive
This movie made my day! I'm really satisfied.,positive
This order is neither good nor bad.,neutral
I hate this tool. It's a complete waste of money.,negative
"It's a decent service, works as intended.",neutral
Worst subscription I've ever bought. Totally useless.,negative
Superb delivery with outstanding quality and value.,positive
I absolutely love this phone! It exceeded all my expectations.,positive
Worst vacuum I've ever bought. Totally useless.,negative
Mediocre product. You get what you pay for.,neutral
Fantastic phone. Will definitely recommend to others.,positive
This meal is neither good nor bad.,neutral
I hate this product. It's a complete waste of money.,negative
Superb delivery with outstanding quality and value.,positive
Worst laptop I've ever bought. Totally useless.,negative
I hate this software. It's a complete waste of money.,negative
Terrible experience — broke within days of use.,negative
Fantastic application. Will definitely recommend to others.,positive
Terrible device — broke within days of use.,negative
I absolutely love this vacuum! It exceeded all my expectations.,positive
Poor quality tool and horrible customer support.,negative
This laptop made my day! I'm really satisfied.,positive
Terrible device — broke within days of use.,negative
"It's a decent car, works as intended.",neutral
Very disappointed with this headset. Not worth it.,negative
Superb experience with outstanding quality and value.,positive
Worst service I've ever bought. Totally useless.,negative
I absolutely love this phone! It exceeded all my expectations.,positive
Fantastic movie. Will definitely recommend to others.,positive
Poor quality subscription and horrible customer support.,negative
I absolutely love this device! It exceeded all my expectations.,positive
Terrible tool — broke within days of use.,negative
Worst headset I've ever bought. Totally useless.,negative
This subscription is neither good nor bad.,neutral
I hate this book. It's a complete waste of money.,negative
This movie is okay. Does the job.,neutral
This phone made my day! I'm really satisfied.,positive
Very disappointed with this delivery. Not worth it.,negative
Mediocre application. You get what you pay for.,neutral
"It's a decent order, works as intended.",neutral
Poor quality phone and horrible customer support.,negative
This product is okay. Does the job.,neutral
Poor quality movie and horrible customer support.,negative
Impressive software — works perfectly and looks great.,positive
"It's a decent laptop, works as intended.",neutral
Fantastic headset. Will definitely recommend to others.,positive
Mediocre book. You get what you pay for.,neutral
Terrible car — broke within days of use.,negative
Very disappointed with this laptop. Not worth it.,negative
"It's a decent purchase, works as intended.",neutral
Superb device with outstanding quality and value.,positive
Very disappointed with this laptop. Not worth it.,negative
"It's a decent car, works as intended.",neutral
This laptop made my day! I'm really satisfied.,positive
Mediocre vacuum. You get what you pay for.,neutral
I absolutely love this headset! It exceeded all my expectations.,positive
This subscription made my day! I'm really satisfied.,positive
Average camera — nothing too exciting.,neutral
"It's a decent tool, works as intended.",neutral
I absolutely love this product! It exceeded all my expectations.,positive
Terrible laptop — broke within days of use.,negative
Superb book with outstanding quality and value.,positive
Terrible vacuum — broke within days of use.,negative
Superb product with outstanding quality and value.,positive
Fantastic movie. Will definitely recommend to others.,positive
Superb subscription with outstanding quality and value.,positive
"It's a decent purchase, works as intended.",neutral
Very disappointed with this meal. Not worth it.,negative
Fantastic purchase. Will definitely recommend to others.,positive
This tool made my day! I'm really satisfied.,positive
Fantastic meal. Will definitely recommend to others.,positive
I absolutely love this delivery! It exceeded all my expectations.,positive
"It's a decent meal, works as intended.",neutral
Mediocre software. You get what you pay for.,neutral
Mediocre subscription. You get what you pay for.,neutral
I hate this delivery. It's a complete waste of money.,negative
Average software — nothing too exciting.,neutral
This subscription is okay. Does the job.,neutral
Terrible book — broke within days of use.,negative
Very disappointed with this service. Not worth it.,negative
Very disappointed with this device. Not worth it.,negative
Terrible subscription — broke within days of use.,negative
Average purchase — nothing too exciting.,neutral
Very disappointed with this tool. Not worth it.,negative
This phone is okay. Does the job.,neutral
Terrible product — broke within days of use.,negative
I hate this car. It's a complete waste of money.,negative
Mediocre car. You get what you pay for.,neutral
I hate this book. It's a complete waste of money.,negative
Impressive tool — works perfectly and looks great.,positive
I hate this delivery. It's a complete waste of money.,negative
Poor quality tool and horrible customer support.,negative
Worst vacuum I've ever bought. Totally useless.,negative
This purchase is neither good nor bad.,neutral
Fantastic movie. Will definitely recommend to others.,positive
This meal made my day! I'm really satisfied.,positive
Poor quality camera and horrible customer support.,negative
Average meal — nothing too exciting.,neutral
Fantastic camera. Will definitely recommend to others.,positive
Fantastic vacuum. Will definitely recommend to others.,positive
Superb laptop with outstanding quality and value.,positive
Terrible software — broke within days of use.,negative
This headset is neither good nor bad.,neutral
Fantastic tool. Will definitely recommend to others.,positive
Mediocre meal. You get what you pay for.,neutral
Poor quality delivery and horrible customer support.,negative
Very disappointed with this meal. Not worth it.,negative
Worst software I've ever bought. Totally useless.,negative
Fantastic purchase. Will definitely recommend to others.,positive
I absolutely love this product! It exceeded all my expectations.,positive
I absolutely love this application! It exceeded all my expectations.,positive
This order made my day! I'm really satisfied.,positive
I hate this device. It's a complete waste of money.,negative
Average laptop — nothing too exciting.,neutral
Average vacuum — nothing too exciting.,neutral
"It's a decent vacuum, works as intended.",neutral
Very disappointed with this meal. Not worth it.,negative
Poor quality application and horrible customer support.,negative
Fantastic subscription. Will definitely recommend to others.,positive
Superb subscription with outstanding quality and value.,positive
Poor quality laptop and horrible customer support.,negative
"It's a decent book, works as intended.",neutral
I absolutely love this camera! It exceeded all my expectations.,positive
This vacuum is neither good nor bad.,neutral
Average phone — nothing too exciting.,neutral
Impressive phone — works perfectly and looks great.,positive
Worst delivery I've ever bought. Totally useless.,negative
I absolutely love this movie! It exceeded all my expectations.,positive
This subscription is okay. Does the job.,neutral
Very disappointed with this software. Not worth it.,negative
Worst order I've ever bought. Totally useless.,negative
Poor quality device and horrible customer support.,negative
Impressive application — works perfectly and looks great.,positive
This experience is neither good nor bad.,neutral
This book is neither good nor bad.,neutral
Worst movie I've ever bought. Totally useless.,negative
Mediocre delivery. You get what you pay for.,neutral
Worst service I've ever bought. Totally useless.,negative
Fantastic movie. Will definitely recommend to others.,positive
This experience is neither good nor bad.,neutral
"It's a decent meal, works as intended.",neutral
I absolutely love this software! It exceeded all my expectations.,positive
Mediocre tool. You get what you pay for.,neutral
Superb application with outstanding quality and value.,positive
Terrible software — broke within days of use.,negative
Poor quality movie and horrible customer support.,negative
Mediocre purchase. You get what you pay for.,neutral
I absolutely love this movie! It exceeded all my expectations.,positive
This movie is okay. Does the job.,neutral
This application made my day! I'm really satisfied.,positive
I hate this application. It's a complete waste of money.,negative
Mediocre movie. You get what you pay for.,neutral
This headset made my day! I'm really satisfied.,positive
"It's a decent tool, works as intended.",neutral
Worst headset I've ever bought. Totally useless.,negative
This purchase is neither good nor bad.,neutral
Poor quality tool and horrible customer support.,negative
"It's a decent service, works as intended.",neutral
Fantastic camera. Will definitely recommend to others.,positive
This camera is okay. Does the job.,neutral
This meal is neither good nor bad.,neutral
Worst meal I've ever bought. Totally useless.,negative
Mediocre book. You get what you pay for.,neutral
Worst application I've ever bought. Totally useless.,negative
Mediocre service. You get what you pay for.,neutral
This order is okay. Does the job.,neutral
I hate this laptop. It's a complete waste of money.,negative
"It's a decent experience, works as intended.",neutral
Average headset — nothing too exciting.,neutral
Terrible vacuum — broke within days of use.,negative
Very disappointed with this headset. Not worth it.,negative
Mediocre phone. You get what you pay for.,neutral
Average application — nothing too exciting.,neutral
"It's a decent meal, works as intended.",neutral
Terrible headset — broke within days of use.,negative
Average phone — nothing too exciting.,neutral
Fantastic tool. Will definitely recommend to others.,positive
I absolutely love this meal! It exceeded all my expectations.,positive
I absolutely love this order! It exceeded all my expectations.,positive
Superb headset with outstanding quality and value.,positive
I hate this book. It's a complete waste of money.,negative
Very disappointed with this phone. Not worth it.,negative
Very disappointed with this meal. Not worth it.,negative
Impressive device — works perfectly and looks great.,positive
This phone is okay. Does the job.,neutral
Mediocre service. You get what you pay for.,neutral
Superb experience with outstanding quality and value.,positive
I absolutely love this phone! It exceeded all my expectations.,positive
"It's a decent laptop, works as intended.",neutral
"It's a decent subscription, works as intended.",neutral
I hate this laptop. It's a complete waste of money.,negative
I absolutely love this vacuum! It exceeded all my expectations.,positive
Very disappointed with this movie. Not worth it.,negative
This car made my day! I'm really satisfied.,positive
Very disappointed with this order. Not worth it.,negative
I absolutely love this meal! It exceeded all my expectations.,positive
This application is neither good nor bad.,neutral
This tool is neither good nor bad.,neutral
Worst purchase I've ever bought. Totally useless.,negative
Poor quality car and horrible customer support.,negative
This headset is okay. Does the job.,neutral
This tool made my day! I'm really satisfied.,positive
Average purchase — nothing too exciting.,neutral
Fantastic vacuum. Will definitely recommend to others.,positive
I hate this book. It's a complete waste of money.,negative
This vacuum is okay. Does the job.,neutral
Fantastic experience. Will definitely recommend to others.,positive
I absolutely love this vacuum! It exceeded all my expectations.,positive
Mediocre product. You get what you pay for.,neutral
Terrible service — broke within days of use.,negative
This product is okay. Does the job.,neutral
Terrible laptop — broke within days of use.,negative
This tool is okay. Does the job.,neutral
Impressive meal — works perfectly and looks great.,positive
I absolutely love this book! It exceeded all my expectations.,positive
Terrible service — broke within days of use.,negative
Average service — nothing too exciting.,neutral
Fantastic order. Will definitely recommend to others.,positive
Fantastic software. Will definitely recommend to others.,positive
This device made my day! I'm really satisfied.,positive
This book made my day! I'm really satisfied.,positive
I hate this camera. It's a complete waste of money.,negative
Terrible movie — broke within days of use.,negative
Poor quality service and horrible customer support.,negative
I absolutely love this product! It exceeded all my expectations.,positive
This subscription made my day! I'm really satisfied.,positive
Fantastic purchase. Will definitely recommend to others.,positive
I hate this application. It's a complete waste of money.,negative
Mediocre laptop. You get what you pay for.,neutral
Superb camera with outstanding quality and value.,positive
Impressive device — works perfectly and looks great.,positive
Worst tool I've ever bought. Totally useless.,negative
Superb device with outstanding quality and value.,positive
This delivery made my day! I'm really satisfied.,positive
Superb car with outstanding quality and value.,positive
I hate this software. It's a complete waste of money.,negative
"It's a decent headset, works as intended.",neutral
Average camera — nothing too exciting.,neutral
Poor quality phone and horrible customer support.,negative
This order made my day! I'm really satisfied.,positive
"It's a decent movie, works as intended.",neutral
This meal is okay. Does the job.,neutral
"It's a decent delivery, works as intended.",neutral
Very disappointed with this laptop. Not worth it.,negative
Mediocre service. You get what you pay for.,neutral
"It's a decent headset, works as intended.",neutral
I absolutely love this service! It exceeded all my expectations.,positive
Worst meal I've ever bought. Totally useless.,negative
Fantastic tool. Will definitely recommend to others.,positive
Worst headset I've ever bought. Totally useless.,negative
"It's a decent car, works as intended.",neutral
Impressive experience — works perfectly and looks great.,positive
Mediocre delivery. You get what you pay for.,neutral
Worst vacuum I've ever bought. Totally useless.,negative
This tool is okay. Does the job.,neutral
Impressive order — works perfectly and looks great.,positive
"It's a decent product, works as intended.",neutral
"It's a decent camera, works as intended.",neutral
This subscription made my day! I'm really satisfied.,positive
Superb software with outstanding quality and value.,positive
Fantastic application. Will definitely recommend to others.,positive
Superb delivery with outstanding quality and value.,positive
This car is neither good nor bad.,neutral
I absolutely love this laptop! It exceeded all my expectations.,positive
Poor quality vacuum and horrible customer support.,negative
Poor quality delivery and horrible customer support.,negative
Terrible movie — broke within days of use.,negative
Terrible car — broke within days of use.,negative
I absolutely love this subscription! It exceeded all my expectations.,positive
This software is okay. Does the job.,neutral
Superb vacuum with outstanding quality and value.,positive
I absolutely love this book! It exceeded all my expectations.,positive
Average tool — nothing too exciting.,neutral
This service is neither good nor bad.,neutral
Terrible laptop — broke within days of use.,negative
This meal is okay. Does the job.,neutral
This application is neither good nor bad.,neutral
Impressive tool — works perfectly and looks great.,positive
Impressive service — works perfectly and looks great.,positive
This service is neither good nor bad.,neutral
Impressive experience — works perfectly and looks great.,positive
I absolutely love this subscription! It exceeded all my expectations.,positive
I absolutely love this movie! It exceeded all my expectations.,positive
"It's a decent service, works as intended.",neutral
Average vacuum — nothing too exciting.,neutral
Poor quality device and horrible customer support.,negative
Fantastic camera. Will definitely recommend to others.,positive
Worst headset I've ever bought. Totally useless.,negative
Poor quality movie and horrible customer support.,negative
Terrible laptop — broke within days of use.,negative
I hate this movie. It's a complete waste of money.,negative
Worst phone I've ever bought. Totally useless.,negative
Average delivery — nothing too exciting.,neutral
Poor quality car and horrible customer support.,negative
I absolutely love this application! It exceeded all my expectations.,positive
Poor quality phone and horrible customer support.,negative
"It's a decent headset, works as intended.",neutral
Fantastic delivery. Will definitely recommend to others.,positive
This camera is neither good nor bad.,neutral
Average car — nothing too exciting.,neutral
Fantastic laptop. Will definitely recommend to others.,positive
This book is neither good nor bad.,neutral
Terrible book — broke within days of use.,negative
Superb service with outstanding quality and value.,positive
Fantastic software. Will definitely recommend to others.,positive
I hate this meal. It's a complete waste of money.,negative
Very disappointed with this camera. Not worth it.,negative
I hate this book. It's a complete waste of money.,negative
Superb book with outstanding quality and value.,positive
This service is neither good nor bad.,neutral
"It's a decent device, works as intended.",neutral
This movie made my day! I'm really satisfied.,positive
Poor quality service and horrible customer support.,negative
I hate this purchase. It's a complete waste of money.,negative
Impressive device — works perfectly and looks great.,positive
This phone is neither good nor bad.,neutral
Very disappointed with this service. Not worth it.,negative
Worst product I've ever bought. Totally useless.,negative
Superb application with outstanding quality and value.,positive
This movie is okay. Does the job.,neutral
I absolutely love this phone! It exceeded all my expectations.,positive
Fantastic order. Will definitely recommend to others.,positive
Terrible product — broke within days of use.,negative
This experience is okay. Does the job.,neutral
Fantastic order. Will definitely recommend to others.,positive
Fantastic purchase. Will definitely recommend to others.,positive
Worst tool I've ever bought. Totally useless.,negative
Poor quality delivery and horrible customer support.,negative
I hate this book. It's a complete waste of money.,negative
"It's a decent vacuum, works as intended.",neutral
Mediocre software. You get what you pay for.,neutral
I hate this phone. It's a complete waste of money.,negative
I absolutely love this movie! It exceeded all my expectations.,positive
Worst car I've ever bought. Totally useless.,negative
This subscription is okay. Does the job.,neutral
Impressive phone — works perfectly and looks great.,positive
I hate this device. It's a complete waste of money.,negative
Superb meal with outstanding quality and value.,positive
I absolutely love this meal! It exceeded all my expectations.,positive
Average car — nothing too exciting.,neutral
Worst purchase I've ever bought. Totally useless.,negative
This order is neither good nor bad.,neutral
I absolutely love this car! It exceeded all my expectations.,positive
Worst experience I've ever bought. Totally useless.,negative
This headset is neither good nor bad.,neutral
Terrible application — broke within days of use.,negative
Mediocre phone. You get what you pay for.,neutral
I absolutely love this delivery! It exceeded all my expectations.,positive
Fantastic laptop. Will definitely recommend to others.,positive
This experience is neither good nor bad.,neutral
Fantastic delivery. Will definitely recommend to others.,positive
Terrible movie — broke within days of use.,negative
Superb phone with outstanding quality and value.,positive
Average software — nothing too exciting.,neutral
This meal made my day! I'm really satisfied.,positive
This meal is neither good nor bad.,neutral
